2018-05-29 16:21:09 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 17:38:49 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 17:38:49 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 17:38:50 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 17:38:50 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 17:38:50 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 17:38:50 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 17:58:05 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 17:58:07 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 18:58:31 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:17:06 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:17:07 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:17:47 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:17:47 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:18:52 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:18:54 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:18:55 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:18:56 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:18:58 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:18:59 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:18:59 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:18:59 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:18:59 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:00 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:00 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:00 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:00 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:01 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:01 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:01 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:02 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:03 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:03 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:03 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:03 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:03 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:04 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:04 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:04 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:05 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:05 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:05 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:05 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:05 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:06 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:06 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:07 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:07 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:07 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:07 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:08 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:08 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:08 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:19:08 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:26:37 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:26:37 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:26:38 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:26:38 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:26:38 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:26:38 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:26:38 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:26:38 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:26:38 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:26:39 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:26:39 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
2018-05-29 19:26:39 Warning: DebugKit is disabling itself as your host `php-practices.com` is not in the known safe list of top-level-domains (localhost, dev, invalid, test, example, local). If you would like to force DebugKit on use the `DebugKit.forceEnable` Configure option.
